,Sentences,Date_1,Words,Date_2,Numbers,Date_3
1232,CHAPTER 13,monday november 20 1989,hair,saturday october 4 2003,1332,monday october 20 2014
1233,Wheelbarrow .,11 june 1980,speculation,friday september 23 2016,-4253,may 4 1997
1234,"Next morning , Monday , after disposing of the embalmed head to a barber , for a block , I settled my own and comrade ' s bill ; using , however , my comrade ' s money .",saturday july 25 1992,outwardly,23 06 01,-1156,23 august 1973
1235,"The grinning landlord , as well as the boarders , seemed amazingly tickled at the sudden friendship which had sprung up between me and Queequeg -- especially as Peter Coffin ' s cock and bull stories about him had previously so much alarmed me concerning the very person whom I now companied with .",february 6 2001,beef,wednesday june 21 2006,-4231,sunday november 1 2015
1236,"We borrowed a wheelbarrow , and embarking our things , including my own poor carpet - bag , and Queequeg ' s canvas sack and hammock , away we went down to "" the Moss ,"" the little Nantucket packet schooner moored at the wharf .",wednesday january 19 2000,necessity,17 december 1977,6702,november 10 1981
1237,"As we were going along the people stared ; not at Queequeg so much -- for they were used to seeing cannibals like him in their streets ,-- but at seeing him and me upon such confidential terms .",sunday february 19 2017,trembled,21 06 15,-1408,9 oct 2019
1238,"But we heeded them not , going along wheeling the barrow by turns , and Queequeg now and then stopping to adjust the sheath on his harpoon barbs .",10 04 96,lastingly,feb 11 2018,6758,saturday june 3 2000
1239,"I asked him why he carried such a troublesome thing with him ashore , and whether all whaling ships did not find their own harpoons .",08 may 2015,excepting,monday september 30 2019,-3247,may 10 2012
1240,"To this , in substance , he replied , that though what I hinted was true enough , yet he had a particular affection for his own harpoon , because it was of assured stuff , well tried in many a mortal combat , and deeply intimate with the hearts of whales .",november 27 1988,unamiable,june 10 2016,-8552,24 feb 1975
1241,"In short , like many inland reapers and mowers , who go into the farmers ' meadows armed with their own scythes -- though in no wise obliged to furnish them -- even so , Queequeg , for his own private reasons , preferred his own harpoon .",monday february 20 2006,surprised,friday march 6 1992,-5365,march 1 1981
1242,"Shifting the barrow from my hand to his , he told me a funny story about the first wheelbarrow he had ever seen .",december 8 1995,observing,sunday april 17 1977,8312,sunday july 12 1998
1243,It was in Sag Harbor .,3 february 2012,professed,sunday june 12 2011,-2049,saturday february 6 1999
1244,"The owners of his ship , it seems , had lent him one , in which to carry his heavy chest to his boarding house .",september 19 1974,esteems,7/28/11,3424,mar 4 2004
1245,"Not to seem ignorant about the thing -- though in truth he was entirely so , concerning the precise way in which to manage the barrow -- Queequeg puts his chest upon it ; lashes it fast ; and then shoulders the barrow and marches up the wharf .",friday june 2 2006,play,may 16 2005,2748,sunday november 2 1997
1246,""" Why ,"" said I , "" Queequeg , you might have known better than that , one would think .",27 november 2005,wondering,friday may 21 2010,3446,tuesday january 23 1979
1247,"Didn ' t the people laugh ?""",monday may 3 1976,dared,monday november 8 1971,-6325,saturday february 5 1994
1248,"Upon this , he told me another story .",sunday january 7 2018,beneficial,friday april 25 2003,-7126,8/3/76
1249,"The people of his island of Rokovoko , it seems , at their wedding feasts express the fragrant water of young cocoanuts into a large stained calabash like a punchbowl ; and this punchbowl always forms the great central ornament on the braided mat where the feast is held .",11 april 2002,occurred,september 22 2004,5734,wednesday december 8 1971
1250,"Now a certain grand merchant ship once touched at Rokovoko , and its commander -- from all accounts , a very stately punctilious gentleman , at least for a sea captain -- this commander was invited to the wedding feast of Queequeg ' s sister , a pretty young princess just turned of ten .",saturday march 2 1974,head,10 october 1988,8745,tuesday june 14 2005
1251,"Well ; when all the wedding guests were assembled at the bride ' s bamboo cottage , this Captain marches in , and being assigned the post of honour , placed himself over against the punchbowl , and between the High Priest and his majesty the King , Queequeg ' s father .",feb 21 1992,disapprove,06.01.89,3031,april 24 1994
1252,"Grace being said ,-- for those people have their grace as well as we -- though Queequeg told me that unlike us , who at such times look downwards to our platters , they , on the contrary , copying the ducks , glance upwards to the great Giver of all feasts -- Grace , I say , being said , the High Priest opens the banquet by the immemorial ceremony of the island ; that is , dipping his consecrated and consecrating fingers into the bowl before the blessed beverage circulates .",friday march 29 1985,benefactress,monday august 25 1997,7236,27 mar 2006
1253,"Seeing himself placed next the Priest , and noting the ceremony , and thinking himself -- being Captain of a ship -- as having plain precedence over a mere island King , especially in the King ' s own house -- the Captain coolly proceeds to wash his hands in the punchbowl ;-- taking it I suppose for a huge finger - glass .",mar 4 1998,spoiling,29 may 1977,7354,06 sep 1974
1254,""" Now ,"" said Queequeg , "" what you tink now ?-- Didn ' t our people laugh ?""",tuesday march 4 2003,Fifty,18 november 1981,-8881,sunday july 18 1971
1255,"At last , passage paid , and luggage safe , we stood on board the schooner .",10 december 1981,refuse,4/9/74,7974,thursday june 29 2000
1256,"Hoisting sail , it glided down the Acushnet river .",sunday december 2 1979,Taylor,monday january 2 2012,5786,march 15 2008
1257,"On one side , New Bedford rose in terraces of streets , their ice - covered trees all glittering in the clear , cold air .",monday december 31 2001,neglect,friday november 18 1977,3319,friday july 3 2015
1258,"Huge hills and mountains of casks on casks were piled upon her wharves , and side by side the world - wandering whale ships lay silent and safely moored at last ; while from others came a sound of carpenters and coopers , with blended noises of fires and forges to melt the pitch , all betokening that new cruises were on the start ; that one most perilous and long voyage ended , only begins a second ; and a second ended , only begins a third , and so on , for ever and for aye .",6/9/08,alteration,2/22/79,-1338,november 18 1970
1259,"Such is the endlessness , yea , the intolerableness of all earthly effort .",monday january 8 1996,notion,saturday february 24 1979,1733,22 october 1981
1260,"Gaining the more open water , the bracing breeze waxed fresh ; the little Moss tossed the quick foam from her bows , as a young colt his snortings .",16 sep 2007,briefly,thursday august 9 2012,6367,1 dec 1995
1261,How I snuffed that Tartar air !-- how I spurned that turnpike earth !-- that common highway all over dented with the marks of slavish heels and hoofs ; and turned me to admire the magnanimity of the sea which will permit no records .,14 may 1982,attached,02.02.73,-2168,thursday january 1 1976
1262,"At the same foam - fountain , Queequeg seemed to drink and reel with me .",7/22/08,importance,tuesday may 8 2001,4268,17.02.73
1263,His dusky nostrils swelled apart ; he showed his filed and pointed teeth .,tuesday may 14 1974,diffident,21 nov 2018,-3699,march 2 2008
1264,"On , on we flew ; and our offing gained , the Moss did homage to the blast ; ducked and dived her bows as a slave before the Sultan .",july 5 2018,Annamaria,13 mar 1977,3462,thursday june 25 1992
1265,"Sideways leaning , we sideways darted ; every ropeyarn tingling like a wire ; the two tall masts buckling like Indian canes in land tornadoes .",july 5 1977,respectably,11 may 2017,-5117,friday june 14 1996
1266,"So full of this reeling scene were we , as we stood by the plunging bowsprit , that for some time we did not notice the jeering glances of the passengers , a lubber - like assembly , who marvelled that two fellow beings should be so companionable ; as though a white man were anything more dignified than a whitewashed negro .",26 apr 2002,Walker,26 nov 2015,7393,thursday february 8 2007
1267,"But there were some boobies and bumpkins there , who , by their intense greenness , must have come from the heart and centre of all verdure .",13 september 2016,joy,thursday august 20 2009,-1807,7/19/10
1268,Queequeg caught one of these young saplings mimicking him behind his back .,tuesday september 25 1979,breakfasting,3/30/90,-1652,saturday december 8 1984
1269,I thought the bumpkin ' s hour of doom was come .,27 june 2018,solely,thursday january 25 1973,-2130,thursday july 9 2015
1270,"Dropping his harpoon , the brawny savage caught him in his arms , and by an almost miraculous dexterity and strength , sent him high up bodily into the air ; then slightly tapping his stern in mid - somerset , the fellow landed with bursting lungs upon his feet , while Queequeg , turning his back upon him , lighted his tomahawk pipe and passed it to me for a puff .",friday april 19 2002,possessions,10 jun 2020,9668,05 jun 1999
1271,""" Capting !",monday march 2 1981,example,13 november 1976,-2793,11/28/74
1272,Capting !,sunday july 5 2015,chairs,apr 22 1971,-349,3 february 1998
1273,"yelled the bumpkin , running towards that officer ; "" Capting , Capting , here ' s the devil .""",wednesday june 11 1986,mixing,monday july 18 2005,-2058,tuesday june 18 2019
1274,""" Hallo , YOU sir ,"" cried the Captain , a gaunt rib of the sea , stalking up to Queequeg , "" what in thunder do you mean by that ?",25 october 1985,penitent,monday july 10 1995,-1525,wednesday april 3 1991
1275,"Don ' t you know you might have killed that chap ?""",wednesday june 6 2007,sincerely,may 30 1983,-5405,15.08.15
1276,""" What him say ?""",07.01.90,misconstruction,thursday december 1 2011,9963,9/6/03
1277,"said Queequeg , as he mildly turned to me .",01.06.95,unconcerned,6/24/09,-2748,sunday january 26 2003
1278,""" He say ,"" said I , "" that you came near kill - e that man there ,"" pointing to the still shivering greenhorn .",2 february 1976,indefatigable,sep 16 2007,2594,7 july 1983
1279,""" Kill - e ,"" cried Queequeg , twisting his tattooed face into an unearthly expression of disdain , "" ah !",wednesday november 4 1998,pride,sunday october 20 1991,1956,june 25 1998
1280,"him bevy small - e fish - e ; Queequeg no kill - e so small - e fish - e ; Queequeg kill - e big whale !""",4 nov 1983,acquitted,tuesday may 13 2003,2385,sunday february 25 1996
1281,""" Look you ,"" roared the Captain , "" I ' ll kill - e YOU , you cannibal , if you try any more of your tricks aboard here ; so mind your eye .""",17 mar 1984,arm,13 april 1974,1425,thursday january 16 2003
1282,"But it so happened just then , that it was high time for the Captain to mind his own eye .",sunday february 21 1971,difficult,15 dec 1984,-8418,may 3 1982
1283,"The prodigious strain upon the main - sail had parted the weather - sheet , and the tremendous boom was now flying from side to side , completely sweeping the entire after part of the deck .",19 feb 1971,freeze,aug 21 2006,-9710,saturday june 23 2018
1284,"The poor fellow whom Queequeg had handled so roughly , was swept overboard ; all hands were in a panic ; and to attempt snatching at the boom to stay it , seemed madness .",july 10 1976,read,june 3 2013,-4424,4 12 17
1285,"It flew from right to left , and back again , almost in one ticking of a watch , and every instant seemed on the point of snapping into splinters .",saturday june 15 2002,frightens,december 1 1975,-9268,monday april 15 1991
1286,"Nothing was done , and nothing seemed capable of being done ; those on deck rushed towards the bows , and stood eyeing the boom as if it were the lower jaw of an exasperated whale .",tuesday march 30 1971,stretched,tuesday june 16 1970,8221,mar 23 1976
1287,"In the midst of this consternation , Queequeg dropped deftly to his knees , and crawling under the path of the boom , whipped hold of a rope , secured one end to the bulwarks , and then flinging the other like a lasso , caught it round the boom as it swept over his head , and at the next jerk , the spar was that way trapped , and all was safe .",29 06 71,swallow,07 jun 2005,1815,tuesday january 15 2013
1288,"The schooner was run into the wind , and while the hands were clearing away the stern boat , Queequeg , stripped to the waist , darted from the side with a long living arc of a leap .",14 feb 1974,moving,friday april 16 1976,-3552,sunday july 26 2020
1289,"For three minutes or more he was seen swimming like a dog , throwing his long arms straight out before him , and by turns revealing his brawny shoulders through the freezing foam .",friday august 20 1982,presented,sunday september 19 1993,9850,24 12 98
1290,"I looked at the grand and glorious fellow , but saw no one to be saved .",14 01 76,low,25 apr 2018,9114,wednesday september 2 1981
1291,The greenhorn had gone down .,wednesday september 19 1979,compares,october 7 1977,2306,4/21/88
1292,"Shooting himself perpendicularly from the water , Queequeg , now took an instant ' s glance around him , and seeming to see just how matters were , dived down and disappeared .",saturday september 5 1992,elucidation,26 june 2006,3887,6 march 2018
1293,"A few minutes more , and he rose again , one arm still striking out , and with the other dragging a lifeless form .",friday may 3 2019,posture,dec 3 1977,9059,23 jul 1986
1294,The boat soon picked them up .,16 october 1984,Morton,friday july 5 2002,-7641,friday december 22 1995
1295,The poor bumpkin was restored .,wednesday september 24 2008,unkindly,thursday june 19 2014,-6890,19 nov 2002
1296,All hands voted Queequeg a noble trump ; the captain begged his pardon .,monday december 14 1998,groom,11/19/11,5685,01 oct 1992
1297,"From that hour I clove to Queequeg like a barnacle ; yea , till poor Queequeg took his last long dive .",saturday november 12 2011,violoncello,17.11.98,-594,thursday august 4 2011
1298,Was there ever such unconsciousness ?,thursday july 15 2010,there,aug 2 1991,-7075,17 october 2007
1299,He did not seem to think that he at all deserved a medal from the Humane and Magnanimous Societies .,9/5/79,wronged,27 dec 1994,-7935,29 may 1973
1300,"He only asked for water -- fresh water -- something to wipe the brine off ; that done , he put on dry clothes , lighted his pipe , and leaning against the bulwarks , and mildly eyeing those around him , seemed to be saying to himself --"" It ' s a mutual , joint - stock world , in all meridians .",16 feb 1977,servant,december 23 2005,654,28 may 2016
1301,"We cannibals must help these Christians .""",monday january 12 2015,breed,22.02.03,-4381,22 may 2016
1302,CHAPTER 14,11 february 2001,universal,7 january 1985,9965,saturday july 24 1971
1303,Nantucket .,may 8 2003,rate,may 2 2016,-5338,friday september 28 2007
1304,"Nothing more happened on the passage worthy the mentioning ; so , after a fine run , we safely arrived in Nantucket .",27 feb 2004,my,friday april 26 2019,-6326,oct 8 2010
1305,Nantucket !,thursday april 19 2001,reliance,monday july 24 1989,-7378,friday november 18 1988
1306,Take out your map and look at it .,6 aug 2019,description,saturday august 3 1985,-7546,jul 31 2008
1307,"See what a real corner of the world it occupies ; how it stands there , away off shore , more lonely than the Eddystone lighthouse .",16 mar 2019,murmurings,wednesday april 18 1990,8677,30 mar 1988
1308,"Look at it -- a mere hillock , and elbow of sand ; all beach , without a background .",tuesday march 20 1979,East,1 09 17,-4871,sunday july 24 2005
1309,There is more sand there than you would use in twenty years as a substitute for blotting paper .,3 september 2002,playthings,13 may 1974,-6522,16 mar 1971
1310,"Some gamesome wights will tell you that they have to plant weeds there , they don ' t grow naturally ; that they import Canada thistles ; that they have to send beyond seas for a spile to stop a leak in an oil cask ; that pieces of wood in Nantucket are carried about like bits of the true cross in Rome ; that people there plant toadstools before their houses , to get under the shade in summer time ; that one blade of grass makes an oasis , three blades in a day ' s walk a prairie ; that they wear quicksand shoes , something like Laplander snow - shoes ; that they are so shut up , belted about , every way inclosed , surrounded , and made an utter island of by the ocean , that to their very chairs and tables small clams will sometimes be found adhering , as to the backs of sea turtles .",wednesday january 19 1972,females,06 oct 2010,-2110,friday august 10 2012
1311,But these extravaganzas only show that Nantucket is no Illinois .,december 27 1999,lips,sunday july 8 1984,8459,21 november 2007
1312,Look now at the wondrous traditional story of how this island was settled by the red - men .,27.11.03,toned,april 10 1993,2544,thursday august 16 2012
1313,Thus goes the legend .,sunday june 3 1990,Having,friday july 15 1977,5397,friday june 30 1989
1314,"In olden times an eagle swooped down upon the New England coast , and carried off an infant Indian in his talons .",oct 10 2000,unpleasant,saturday november 6 1976,-8364,thursday june 24 1971
1315,With loud lament the parents saw their child borne out of sight over the wide waters .,thursday october 16 1997,public,27 april 2012,-3644,mar 6 1977
1316,They resolved to follow in the same direction .,6 august 2005,enormously,25 october 2013,1933,3/12/71
1317,"Setting out in their canoes , after a perilous passage they discovered the island , and there they found an empty ivory casket ,-- the poor little Indian ' s skeleton .",may 12 1982,invariably,16 mar 2020,-7978,apr 6 1993
1318,"What wonder , then , that these Nantucketers , born on a beach , should take to the sea for a livelihood !",tuesday june 22 1976,Know,july 2 2011,650,march 2 2007
1319,"They first caught crabs and quohogs in the sand ; grown bolder , they waded out with nets for mackerel ; more experienced , they pushed off in boats and captured cod ; and at last , launching a navy of great ships on the sea , explored this watery world ; put an incessant belt of circumnavigations round it ; peeped in at Behring ' s Straits ; and in all seasons and all oceans declared everlasting war with the mightiest animated mass that has survived the flood ; most monstrous and most mountainous !",10 jun 1986,way,22 june 2007,945,30 may 1977
1320,"That Himmalehan , salt - sea Mastodon , clothed with such portentousness of unconscious power , that his very panics are more to be dreaded than his most fearless and malicious assaults !",wednesday may 18 2016,happiest,thursday january 21 1971,1598,monday march 26 1973
1321,"And thus have these naked Nantucketers , these sea hermits , issuing from their ant - hill in the sea , overrun and conquered the watery world like so many Alexanders ; parcelling out among them the Atlantic , Pacific , and Indian oceans , as the three pirate powers did Poland .",friday february 14 2020,scruples,20 may 2017,-6468,tuesday august 23 2016
1322,"Let America add Mexico to Texas , and pile Cuba upon Canada ; let the English overswarm all India , and hang out their blazing banner from the sun ; two thirds of this terraqueous globe are the Nantucketer ' s .",14 may 2012,done,wednesday november 18 1987,-4545,september 16 1990
1323,"For the sea is his ; he owns it , as Emperors own empires ; other seamen having but a right of way through it .",08 feb 2016,habit,saturday september 16 1995,-6742,monday november 17 2014
1324,"Merchant ships are but extension bridges ; armed ones but floating forts ; even pirates and privateers , though following the sea as highwaymen the road , they but plunder other ships , other fragments of the land like themselves , without seeking to draw their living from the bottomless deep itself .",14 05 74,relief,18 october 1983,4915,may 31 1995
1325,"The Nantucketer , he alone resides and riots on the sea ; he alone , in Bible language , goes down to it in ships ; to and fro ploughing it as his own special plantation .",23 january 1972,rumour,31 october 2015,2094,june 16 1993
1326,"THERE is his home ; THERE lies his business , which a Noah ' s flood would not interrupt , though it overwhelmed all the millions in China .",saturday august 21 2010,Others,june 18 1980,-431,4 august 1980
1327,"He lives on the sea , as prairie cocks in the prairie ; he hides among the waves , he climbs them as chamois hunters climb the Alps .",13 apr 2006,mistrust,27 march 1992,-1434,sunday november 18 2018
1328,"For years he knows not the land ; so that when he comes to it at last , it smells like another world , more strangely than the moon would to an Earthsman .",thursday november 7 1996,attained,15 april 1982,-5929,27 may 2012
1329,"With the landless gull , that at sunset folds her wings and is rocked to sleep between billows ; so at nightfall , the Nantucketer , out of sight of land , furls his sails , and lays him to his rest , while under his very pillow rush herds of walruses and whales .",october 13 1973,Somerset,27 apr 2003,5110,feb 21 1995
1330,CHAPTER 15,february 23 1997,rapturously,saturday august 3 1996,-1841,monday september 25 1989
1331,Chowder .,wednesday june 11 2003,lifted,3 august 1996,921,22 oct 2011
1332,"It was quite late in the evening when the little Moss came snugly to anchor , and Queequeg and I went ashore ; so we could attend to no business that day , at least none but a supper and a bed .",friday march 24 1978,project,jan 11 1983,-9649,december 30 2000
1333,"The landlord of the Spouter - Inn had recommended us to his cousin Hosea Hussey of the Try Pots , whom he asserted to be the proprietor of one of the best kept hotels in all Nantucket , and moreover he had assured us that Cousin Hosea , as he called him , was famous for his chowders .",24 june 2003,bold,october 24 1992,-3786,december 7 2019
1334,"In short , he plainly hinted that we could not possibly do better than try pot - luck at the Try Pots .",monday july 1 2013,duty,wednesday february 22 2006,9943,wednesday march 10 1976
1335,"But the directions he had given us about keeping a yellow warehouse on our starboard hand till we opened a white church to the larboard , and then keeping that on the larboard hand till we made a corner three points to the starboard , and that done , then ask the first man we met where the place was : these crooked directions of his very much puzzled us at first , especially as , at the outset , Queequeg insisted that the yellow warehouse -- our first point of departure -- must be left on the larboard hand , whereas I had understood Peter Coffin to say it was on the starboard .",03.03.82,evenings,22 july 1997,-3496,20 nov 1996
1336,"However , by dint of beating about a little in the dark , and now and then knocking up a peaceable inhabitant to inquire the way , we at last came to something which there was no mistaking .",thursday november 2 2017,struck,wednesday october 29 1986,-4557,jul 9 1976
1337,"Two enormous wooden pots painted black , and suspended by asses ' ears , swung from the cross - trees of an old top - mast , planted in front of an old doorway .",thursday april 21 1977,success,26 dec 1997,-3132,10/10/15
1338,"The horns of the cross - trees were sawed off on the other side , so that this old top - mast looked not a little like a gallows .",25 06 70,explanations,tuesday february 17 2004,3942,sunday may 13 1979
1339,"Perhaps I was over sensitive to such impressions at the time , but I could not help staring at this gallows with a vague misgiving .",03 may 2001,temper,friday november 2 2018,2884,13.09.04
1340,"A sort of crick was in my neck as I gazed up to the two remaining horns ; yes , TWO of them , one for Queequeg , and one for me .",11 04 12,obstacle,november 2 1973,-4216,7 november 1974
1341,"It ' s ominous , thinks I .",tuesday august 14 1990,dreaming,wednesday october 23 1996,-4986,28 feb 1982
1342,A Coffin my Innkeeper upon landing in my first whaling port ; tombstones staring at me in the whalemen ' s chapel ; and here a gallows !,friday march 13 1970,life,29 dec 2019,-1453,thursday august 17 2017
1343,and a pair of prodigious black pots too !,tuesday march 17 1981,"!--""",february 17 1984,-7396,sunday april 4 1971
1344,Are these last throwing out oblique hints touching Tophet ?,tuesday july 16 1985,consolation,sunday july 13 1997,8750,30 november 1984
1345,"I was called from these reflections by the sight of a freckled woman with yellow hair and a yellow gown , standing in the porch of the inn , under a dull red lamp swinging there , that looked much like an injured eye , and carrying on a brisk scolding with a man in a purple woollen shirt .",monday september 26 1983,Lodging,8 aug 2015,9292,25 jul 1994
1346,""" Get along with ye ,"" said she to the man , "" or I ' ll be combing ye !""",2/13/98,colonel,2 july 1995,-2549,29 feb 2004
1347,""" Come on , Queequeg ,"" said I , "" all right .",04 may 1993,accomplished,1 november 2013,-7692,16 nov 1985
1348,There ' s Mrs .,sunday may 5 2002,solicitous,2 feb 2017,795,07.10.10
1349,"Hussey .""",august 8 2017,going,08.08.71,813,9 oct 1979
1350,"And so it turned out ; Mr . Hosea Hussey being from home , but leaving Mrs . Hussey entirely competent to attend to all his affairs .",oct 14 2001,injured,wednesday june 10 1992,-8560,wednesday april 9 2008
1351,"Upon making known our desires for a supper and a bed , Mrs . Hussey , postponing further scolding for the present , ushered us into a little room , and seating us at a table spread with the relics of a recently concluded repast , turned round to us and said --"" Clam or Cod ?""",7 jun 2020,false,15 feb 2005,7573,6/26/13
1352,""" What ' s that about Cods , ma ' am ?""",24 apr 1986,attention,27 sep 2001,-7490,14 06 06
1353,"said I , with much politeness .",9/13/88,expenses,thursday may 5 2005,8418,23 december 2018
1354,""" Clam or Cod ?""",thursday july 7 2005,shame,saturday november 23 1991,-4771,thursday october 11 1984
1355,she repeated .,sunday january 1 2017,ample,29 february 2004,9507,december 25 1975
1356,""" A clam for supper ?",tuesday august 2 2005,benefit,november 11 2009,2418,1 05 78
1357,"a cold clam ; is THAT what you mean , Mrs .",14 07 75,wisdom,24.12.89,9561,jun 17 1994
1358,"Hussey ?""",1 june 1998,retailed,18 november 1976,-3519,1 december 2010
1359,"says I , "" but that ' s a rather cold and clammy reception in the winter time , ain ' t it , Mrs .",10 july 2005,NOT,saturday september 6 1980,-7103,wednesday january 12 1977
1360,"Hussey ?""",wednesday april 23 1986,faces,18 11 94,-109,29 mar 2002
1361,"But being in a great hurry to resume scolding the man in the purple Shirt , who was waiting for it in the entry , and seeming to hear nothing but the word "" clam ,"" Mrs . Hussey hurried towards an open door leading to the kitchen , and bawling out "" clam for two ,"" disappeared .",tuesday december 26 1978,Go,28 11 75,1370,09.12.06
1362,""" Queequeg ,"" said I , "" do you think that we can make out a supper for us both on one clam ?""",22 mar 1989,enquire,mar 10 1974,9851,thursday october 21 1999
1363,"However , a warm savory steam from the kitchen served to belie the apparently cheerless prospect before us .",10/22/01,perturbation,monday june 10 2002,9203,23 sep 1972
1364,"But when that smoking chowder came in , the mystery was delightfully explained .",wednesday april 13 1977,Dawlish,tuesday november 22 1983,9918,29 may 1984
1365,"Oh , sweet friends !",wednesday january 17 1996,mildness,25 mar 2002,788,17 12 87
1366,hearken to me .,monday august 19 1996,assigned,10 july 2001,-1385,december 25 2001
1367,"It was made of small juicy clams , scarcely bigger than hazel nuts , mixed with pounded ship biscuit , and salted pork cut up into little flakes ; the whole enriched with butter , and plentifully seasoned with pepper and salt .",tuesday november 17 1981,respects,19 november 1990,-3484,18 apr 1979
1368,"Our appetites being sharpened by the frosty voyage , and in particular , Queequeg seeing his favourite fishing food before him , and the chowder being surpassingly excellent , we despatched it with great expedition : when leaning back a moment and bethinking me of Mrs . Hussey ' s clam and cod announcement , I thought I would try a little experiment .",monday may 5 2014,Watched,february 18 1998,1648,wednesday may 11 1977
1369,"Stepping to the kitchen door , I uttered the word "" cod "" with great emphasis , and resumed my seat .",wednesday february 11 1981,upright,07.02.71,-1451,october 26 2004
1370,"In a few moments the savoury steam came forth again , but with a different flavor , and in good time a fine cod - chowder was placed before us .",28 october 1984,very,june 8 2003,-1276,friday march 26 1976
1371,"We resumed business ; and while plying our spoons in the bowl , thinks I to myself , I wonder now if this here has any effect on the head ?",18.05.73,heaven,tuesday january 26 2010,1146,october 6 1994
1372,What ' s that stultifying saying about chowder - headed people ?,14 nov 1999,3,thursday july 6 1989,9976,sunday september 1 2019
1373,""" But look , Queequeg , ain ' t that a live eel in your bowl ?",3/16/72,unwilling,4/26/74,-8861,14 september 1972
1374,"Where ' s your harpoon ?""",14 oct 1982,chair,3/1/77,-7210,6 02 80
1375,"Fishiest of all fishy places was the Try Pots , which well deserved its name ; for the pots there were always boiling chowders .",30 07 93,within,17 november 1981,6700,20 jun 1977
1376,"Chowder for breakfast , and chowder for dinner , and chowder for supper , till you began to look for fish - bones coming through your clothes .",july 15 2012,triumph,april 11 2000,4230,monday december 25 1989
1377,The area before the house was paved with clam - shells .,saturday october 12 1991,advice,07 jun 1981,-765,1 may 1986
1378,Mrs . Hussey wore a polished necklace of codfish vertebra ; and Hosea Hussey had his account books bound in superior old shark - skin .,11 january 2009,dupe,17 apr 1974,5961,thursday june 3 2010
1379,"There was a fishy flavor to the milk , too , which I could not at all account for , till one morning happening to take a stroll along the beach among some fishermen ' s boats , I saw Hosea ' s brindled cow feeding on fish remnants , and marching along the sand with each foot in a cod ' s decapitated head , looking very slip - shod , I assure ye .",monday february 16 1976,o,apr 22 1985,9189,november 11 1998
1380,"Supper concluded , we received a lamp , and directions from Mrs . Hussey concerning the nearest way to bed ; but , as Queequeg was about to precede me up the stairs , the lady reached forth her arm , and demanded his harpoon ; she allowed no harpoon in her chambers .",wednesday april 24 1974,Fifteen,april 30 1997,-7910,thursday july 12 1979
1381,""" Why not ?",tuesday may 29 1973,village,sunday september 29 2019,-1634,saturday november 12 1977
1382,"said I ; "" every true whaleman sleeps with his harpoon -- but why not ?""",12 may 2005,worthiest,monday january 7 1991,-5013,9 sep 1972
1383,""" Because it ' s dangerous ,"" says she .",wednesday may 5 1993,Did,3 february 2015,-7391,2/1/99
1384,""" Ever since young Stiggs coming from that unfort ' nt v ' y ' ge of his , when he was gone four years and a half , with only three barrels of ILE , was found dead in my first floor back , with his harpoon in his side ; ever since then I allow no boarders to take sich dangerous weepons in their rooms at night .",friday march 30 2012,discovered,29 march 2006,2646,12 may 2000
1385,"So , Mr . Queequeg "" ( for she had learned his name ), "" I will just take this here iron , and keep it for you till morning .",wednesday may 5 1976,aimed,09 dec 2003,2674,apr 5 2013
1386,"But the chowder ; clam or cod to - morrow for breakfast , men ?""",23 01 96,pleasure,27 01 83,-6965,25 february 1980
1387,""" Both ,"" says I ; "" and let ' s have a couple of smoked herring by way of variety .""",may 26 1994,forward,april 24 2018,2118,wednesday october 13 1982
1388,CHAPTER 16,saturday february 21 1981,punishment,saturday february 14 1987,4897,feb 15 1973
1389,The Ship .,monday july 27 1992,unreasonable,sunday august 20 1972,-3504,tuesday may 26 2020
1390,In bed we concocted our plans for the morrow .,9 may 1997,covenant,tuesday december 15 1981,6375,thursday november 30 2000
1391,"But to my surprise and no small concern , Queequeg now gave me to understand , that he had been diligently consulting Yojo -- the name of his black little god -- and Yojo had told him two or three times over , and strongly insisted upon it everyway , that instead of our going together among the whaling - fleet in harbor , and in concert selecting our craft ; instead of this , I say , Yojo earnestly enjoined that the selection of the ship should rest wholly with me , inasmuch as Yojo purposed befriending us ; and , in order to do so , had already pitched upon a vessel , which , if left to myself , I , Ishmael , should infallibly light upon , for all the world as though it had turned out by chance ; and in that vessel I must immediately ship myself , for the present irrespective of Queequeg .",05 may 1995,stare,wednesday december 13 2006,4362,thursday august 9 1984
1392,"I have forgotten to mention that , in many things , Queequeg placed great confidence in the excellence of Yojo ' s judgment and surprising forecast of things ; and cherished Yojo with considerable esteem , as a rather good sort of god , who perhaps meant well enough upon the whole , but in all cases did not succeed in his benevolent designs .",tuesday september 18 2018,bestowing,october 7 1975,2291,29 july 2009
1393,"Now , this plan of Queequeg ' s , or rather Yojo ' s , touching the selection of our craft ; I did not like that plan at all .",tuesday november 8 1977,fair,11 03 96,-2130,thursday august 2 1979
1394,I had not a little relied upon Queequeg ' s sagacity to point out the whaler best fitted to carry us and our fortunes securely .,september 30 2011,questions,19 jul 2004,5998,saturday april 17 2010
1395,"But as all my remonstrances produced no effect upon Queequeg , I was obliged to acquiesce ; and accordingly prepared to set about this business with a determined rushing sort of energy and vigor , that should quickly settle that trifling little affair .",friday april 29 2005,discontented,saturday march 30 1996,-8819,thursday october 15 2009
